n,average_call_loss_rate
1,0
2,0
3,0
4,0
5,0.05188
6,0.05199
7,0.09917
8,0.17406000000000002
9,0.15937
10,0.27690000000000003
11,0.14906999999999998
12,0.40609
13,0.25743000000000005
14,0.26657
15,0.38574
16,0.28020999999999996
17,0.26749999999999996
18,0.5297799999999999
19,0.39590999999999993
20,0.38578999999999997
21,0.29722
22,0.4523400000000001
23,0.43971
24,0.38005
25,0.4103
26,0.5442500000000001
27,0.44592
28,0.36655
29,0.4909899999999999
30,0.4716
31,0.51511
32,0.4203
33,0.4392800000000001
34,0.4208099999999999
35,0.67703
36,0.46790999999999994
37,0.42901
38,0.50808
39,0.58672
40,0.52292
41,0.5206700000000002
42,0.5503199999999999
43,0.4891
44,0.56214
45,0.54773
46,0.57349
47,0.5546
48,0.51224
49,0.45759
50,0.5967100000000001
51,0.58542
52,0.61993
53,0.5612299999999999
54,0.56759
55,0.52204
56,0.6031299999999999
57,0.6477600000000001
58,0.66481
59,0.6560900000000001
60,0.67037
61,0.6258
62,0.5977899999999999
63,0.63906
64,0.7480399999999999
65,0.45472
66,0.58931
67,0.45183999999999996
68,0.7225999999999999
69,0.58985
70,0.6381300000000001
71,0.69809
72,0.61571
73,0.58899
74,0.6355700000000001
75,0.53345
76,0.70843
77,0.71258
78,0.6266
79,0.5942799999999999
80,0.5733
81,0.61403
82,0.74221
83,0.6354900000000001
84,0.5931500000000001
85,0.7860800000000001
86,0.6722699999999999
87,0.6281599999999999
88,0.6175200000000001
89,0.7559899999999999
90,0.6968300000000001
91,0.6973900000000001
92,0.6966399999999999
93,0.76307
94,0.63645
95,0.6984
96,0.7797599999999999
97,0.66267
98,0.63311
99,0.67119
100,0.6848099999999999
101,0.7560800000000001
102,0.6417400000000001
103,0.7908999999999999
104,0.6003000000000001
105,0.75173
106,0.78359
107,0.74526
108,0.69753
109,0.83568
110,0.7432399999999999
111,0.69609
112,0.68857
113,0.7357600000000001
114,0.65015
115,0.82635
116,0.7722200000000001
117,0.76589
118,0.72809
119,0.7145199999999999
120,0.6878499999999999
121,0.72285
122,0.6868099999999999
123,0.75962
124,0.7594700000000001
125,0.72471
126,0.6714600000000001
127,0.8093899999999999
128,0.6438300000000001
