n,average_call_loss_rate
1,0
2,0
3,0
4,0.0036399999999999996
5,0.011489999999999998
6,0.02197
7,0.037059999999999996
8,0.05162
9,0.06750999999999999
10,0.08844
11,0.10354000000000001
12,0.12293000000000001
13,0.14056999999999997
14,0.15838000000000002
15,0.17335
16,0.19183000000000003
17,0.20481000000000002
18,0.21995
19,0.23706
20,0.24925000000000003
21,0.26355
22,0.27802999999999994
23,0.28836
24,0.29958999999999997
25,0.31299999999999994
26,0.32667
27,0.33685
28,0.34629
29,0.35745
30,0.3664
31,0.37820999999999994
32,0.38753000000000004
33,0.39631000000000005
34,0.40502000000000005
35,0.41285
36,0.42148
37,0.43091000000000007
38,0.43900000000000006
39,0.4460299999999999
40,0.45366000000000006
41,0.45998
42,0.46885000000000004
43,0.47515999999999997
44,0.483
45,0.48834
46,0.49468000000000006
47,0.5012000000000001
48,0.50779
49,0.51405
50,0.51879
51,0.5236999999999999
52,0.5289699999999999
53,0.53583
54,0.54025
55,0.5442199999999999
56,0.5523199999999999
57,0.55455
58,0.5614899999999999
59,0.5647599999999999
60,0.56869
61,0.57256
62,0.5787800000000001
63,0.58332
64,0.5870999999999998
65,0.5909300000000001
66,0.5942399999999999
67,0.598
68,0.6013000000000001
69,0.6058600000000001
70,0.6094299999999999
71,0.6142200000000001
72,0.6155600000000001
73,0.6198199999999999
74,0.6231600000000002
75,0.62668
76,0.6299399999999999
77,0.63292
78,0.6366499999999999
79,0.64042
80,0.6429799999999999
81,0.6455900000000001
82,0.64805
83,0.6525199999999999
84,0.6538
85,0.65771
86,0.6607999999999999
87,0.66211
88,0.66549
89,0.6683
90,0.6706299999999998
91,0.67409
92,0.67484
93,0.6776
94,0.6818900000000001
95,0.6825600000000001
96,0.68537
97,0.68854
98,0.68919
99,0.69162
100,0.69392
101,0.6953600000000001
102,0.6980699999999999
103,0.6996600000000001
104,0.70074
105,0.70523
106,0.7059200000000001
107,0.70763
108,0.71091
109,0.71269
110,0.7134900000000001
111,0.7163999999999999
112,0.7180199999999999
113,0.7188399999999999
114,0.7205
115,0.7231
116,0.72637
117,0.72621
118,0.72807
119,0.72868
120,0.7319699999999999
121,0.73292
122,0.73426
123,0.73515
124,0.73804
125,0.7394299999999999
